ID,Subject,Session,Optode,Chroma,Condition,Value
3,02,01,S5_D2,hbo,Speech,-1.0572002760450432
3,02,01,S5_D3,hbo,Speech,-0.46555518302454363
3,02,01,S5_D4,hbo,Speech,-0.7187240602607599
3,02,01,S5_D5,hbo,Speech,-0.847384498563737
3,02,01,S10_D9,hbo,Speech,-0.9037479873070857
3,02,01,S10_D10,hbo,Speech,0.8583927309620872
3,02,01,S10_D11,hbo,Speech,2.910954734346813
3,02,01,S10_D12,hbo,Speech,1.3309918755551458
3,02,01,S11_D11,hbo,Speech,0.9443395194341438
3,02,01,S11_D12,hbo,Speech,1.5712235959493628
3,02,01,S6_D6,hbo,Speech,-0.32492238784474947
3,02,01,S6_D8,hbo,Speech,0.12212959173041946
3,02,01,S7_D7,hbo,Speech,0.6123701210595802
3,02,01,S8_D7,hbo,Speech,1.3613826330822782
3,02,01,S8_D8,hbo,Speech,1.0741044294079045
3,02,01,S9_D8,hbo,Speech,0.9725837224189595
3,02,01,S7_D8,hbo,Speech,0.3738585587227995
3,02,01,S1_D1,hbo,Speech,-0.16657623285294845
3,02,01,S2_D1,hbo,Speech,0.42367775872124425
3,02,01,S3_D1,hbo,Speech,0.19022174278183587
3,02,01,S3_D2,hbo,Speech,1.1839169994128536
3,02,01,S12_D1,hbo,Speech,-0.719870508629116
4,02,02,S4_D2,hbo,Control,-0.5704513925649078
4,02,02,S4_D3,hbo,Control,-0.8117260337683633
4,02,02,S5_D2,hbo,Control,-2.2396295135978654
4,02,02,S5_D3,hbo,Control,-0.23104847253967575
4,02,02,S5_D4,hbo,Control,-1.7674398916707224
4,02,02,S5_D5,hbo,Control,-2.9273767466104488
4,02,02,S10_D9,hbo,Control,-2.6080636141806717
4,02,02,S10_D10,hbo,Control,-2.595660623359599
4,02,02,S10_D11,hbo,Control,-0.8024234991668696
4,02,02,S10_D12,hbo,Control,-0.7277043321536034
4,02,02,S11_D11,hbo,Control,0.21835866817181382
4,02,02,S11_D12,hbo,Control,-0.01110085082185766
4,02,02,S7_D7,hbo,Control,1.0383621615368868
4,02,02,S9_D8,hbo,Control,-0.04398418134892576
4,02,02,S7_D8,hbo,Control,1.7956212443150874
4,02,02,S1_D1,hbo,Control,-0.25256108602314153
4,02,02,S2_D1,hbo,Control,0.17231509566863457
4,02,02,S3_D1,hbo,Control,-0.28796843083983675
4,02,02,S3_D2,hbo,Control,-0.4626042639918103
4,02,02,S12_D1,hbo,Control,-1.1446175447594864
4,02,02,S4_D2,hbo,Noise,1.0620556645372479
4,02,02,S4_D3,hbo,Noise,0.9812244267776581
